time,close,RSI,RSI_80_fcst,RSI_40_fcst,RSI_60_fcst,RSI_20_fcst,EMA_8,EMA_24,EMA_8_above,EMA_24_above,RSI_fcst,target
2023-07-14T10:00:00+03:00,2877.7,0.37513214,2938.5967,2866.962,2888.5884,2806.7766,2878.9385,2883.948,0,0,2,2885.63
2023-07-14T11:00:00+03:00,2890.31,0.37576756,2940.6965,2866.4119,2889.4282,2801.1553,2879.8481,2885.3616,1,1,3,2877.7
2023-07-14T12:00:00+03:00,2892.62,0.37614447,2940.9543,2866.263,2890.2976,2797.2734,2880.8699,2886.9746,1,1,3,2890.31
2023-07-14T13:00:00+03:00,2897.46,0.3761619,2940.0537,2866.1272,2891.54,2792.561,2882.197,2889.3047,1,1,3,2892.62
2023-07-14T14:00:00+03:00,2897.32,0.37593853,2938.509,2866.7397,2892.5125,2791.698,2883.407,2891.086,1,1,3,2897.46
2023-07-14T15:00:00+03:00,2897.08,0.37559876,2936.6514,2867.85,2893.27,2793.5115,2884.5007,2892.418,1,1,3,2897.32
2023-07-14T16:00:00+03:00,2895.79,0.37530273,2935.5781,2869.2493,2893.831,2797.1047,2885.404,2893.1672,1,1,3,2897.08
2023-07-14T17:00:00+03:00,2897.69,0.37498668,2933.9182,2870.5698,2894.4834,2800.195,2886.3867,2894.1724,1,1,3,2895.79
2023-07-14T18:00:00+03:00,2902.72,0.37448475,2932.0186,2871.4473,2895.622,2800.1948,2887.6936,2896.0718,1,1,3,2897.69
2023-07-17T10:00:00+03:00,2907.94,0.37364817,2930.1284,2872.0925,2897.2114,2798.0217,2889.3132,2898.7092,1,1,3,2902.72
2023-07-17T11:00:00+03:00,2912.92,0.3723603,2928.413,2872.7175,2899.1655,2794.7446,2891.2017,2901.8672,1,1,3,2907.94
2023-07-17T12:00:00+03:00,2910.44,0.37094662,2929.1008,2874.0115,2900.758,2795.1404,2892.7407,2903.7722,1,1,3,2912.92
2023-07-17T13:00:00+03:00,2907.53,0.36963388,2931.7634,2875.6692,2901.9934,2797.9995,2893.9238,2904.6072,1,1,3,2910.44
2023-07-17T14:00:00+03:00,2913.37,0.36825612,2933.1614,2876.789,2903.6865,2797.4521,2895.4797,2906.5544,1,1,3,2907.53
2023-07-17T15:00:00+03:00,2915.53,0.3668087,2933.701,2878.1199,2905.3298,2797.8774,2897.0837,2908.549,1,1,3,2913.37
2023-07-17T16:00:00+03:00,2911.32,0.36558446,2937.4404,2879.7942,2906.5798,2800.7805,2898.2227,2909.1648,1,1,3,2915.53
2023-07-17T17:00:00+03:00,2913.54,0.3644782,2939.4426,2881.3809,2907.8076,2803.41,2899.448,2910.1372,1,1,3,2911.32
2023-07-17T18:00:00+03:00,2917.61,0.36333966,2940.29,2882.683,2909.2756,2804.2407,2900.901,2911.7979,1,1,3,2913.54
2023-07-18T10:00:00+03:00,2933.62,0.361603,2940.6992,2882.3271,2912.4658,2793.6646,2903.5186,2916.6472,1,1,3,2917.61
2023-07-18T11:00:00+03:00,2944.12,0.35906684,2942.051,2881.921,2916.45,2780.6729,2906.7666,2922.7522,1,1,4,2933.62
2023-07-18T12:00:00+03:00,2946.51,0.35595122,2943.6213,2882.7695,2920.1172,2773.4834,2909.946,2928.0317,1,1,4,2944.12
2023-07-18T13:00:00+03:00,2947.5,0.35252434,2945.0056,2884.6995,2923.3567,2771.6921,2912.9504,2932.358,1,1,4,2946.51
2023-07-18T14:00:00+03:00,2951.39,0.34889764,2946.986,2886.9844,2926.6067,2771.2402,2916.0256,2936.5874,1,1,4,2947.5
2023-07-18T15:00:00+03:00,2949.49,0.34533006,2948.3906,2890.0002,2929.3457,2775.0469,2918.7026,2939.4546,1,1,4,2951.39
2023-07-18T16:00:00+03:00,2941.82,0.34224853,2955.8242,2893.27,2931.4856,2781.5347,2920.552,2939.9802,1,1,3,2949.49
2023-07-18T17:00:00+03:00,2948.89,0.33939904,2960.7673,2895.733,2934.0476,2783.7192,2922.819,2941.9602,1,1,3,2941.82
2023-07-18T18:00:00+03:00,2954.52,0.33658424,2963.9944,2897.927,2936.8254,2784.2568,2925.3552,2944.7512,1,1,3,2948.89
2023-07-19T10:00:00+03:00,2955.81,0.33384246,2965.9846,2900.5674,2939.2747,2787.4434,2927.7915,2947.2087,1,1,3,2954.52
2023-07-19T11:00:00+03:00,2953.15,0.33134878,2969.471,2903.586,2941.2449,2793.448,2929.8203,2948.529,1,1,3,2955.81
2023-07-19T12:00:00+03:00,2948.64,0.32930246,2975.5232,2906.6885,2942.7322,2801.1592,2931.326,2948.5537,1,1,3,2953.15
2023-07-19T13:00:00+03:00,2942.34,0.3278687,2984.7373,2909.6272,2943.7034,2809.7258,2932.207,2947.1729,1,0,2,2948.64
2023-07-19T14:00:00+03:00,2943.42,0.32692385,2990.0623,2912.2434,2944.4336,2817.7502,2933.104,2946.3389,1,0,2,2942.34
2023-07-19T15:00:00+03:00,2942.43,0.32639778,2993.4622,2914.715,2944.8494,2826.134,2933.85,2945.4702,1,0,2,2943.42
2023-07-19T16:00:00+03:00,2945.13,0.32612243,2994.586,2916.6807,2945.381,2832.2332,2934.7524,2945.3945,1,0,2,2942.43
2023-07-19T17:00:00+03:00,2944.45,0.32607096,2994.735,2918.6455,2945.6907,2838.9792,2935.5283,2945.1848,1,0,2,2945.13
2023-07-19T18:00:00+03:00,2943.43,0.3262412,2994.508,2920.5405,2945.8184,2845.9905,2936.1604,2944.7947,1,0,2,2944.45
2023-07-20T10:00:00+03:00,2931.78,0.326987,3003.7483,2922.0693,2947.2656,2852.7515,2935.81,2941.9026,0,0,2,2943.43
2023-07-20T11:00:00+03:00,2914.04,0.32884693,3024.7808,2922.1958,2950.1936,2858.7686,2934.0684,2935.711,0,0,1,2931.78
2023-07-20T12:00:00+03:00,2919.61,0.33135924,3036.7449,2921.9717,2951.458,2859.223,2932.9116,2932.133,0,0,1,2914.04
2023-07-20T13:00:00+03:00,2918.16,0.3343313,3043.441,2921.6912,2951.7334,2860.824,2931.7317,2929.0278,0,0,1,2919.61
2023-07-20T14:00:00+03:00,2924.97,0.3373085,3045.0918,2920.4983,2951.2588,2857.204,2931.1907,2928.126,0,0,2,2918.16
